created_at,id,lng,lat,topic,sentiment,stance,gender,temperature_avg,aggressiveness
2007-01-06 17:36:51+00:00,2266613,-73.9495823,40.6501038,Weather Extremes,-0.5678213599205018,neutral,male,15.600876,aggressive
2007-01-06 18:08:03+00:00,2268453,,,Weather Extremes,-0.20249092597166699,neutral,male,,not aggressive
2007-01-07 22:44:24+00:00,2332873,,,Weather Extremes,-0.3946098251274654,neutral,male,,aggressive
2007-01-08 17:46:45+00:00,2377823,-0.12574000000000002,51.50853000000001,Impact of Resource Overconsumption,-0.5311487882852555,neutral,undefined,4.908487,aggressive
2007-01-09 16:43:09+00:00,2464013,,,Global stance,-0.47451460361480713,neutral,male,,aggressive
2007-01-09 17:00:53+00:00,2466073,,,Global stance,-0.47451460361480713,neutral,male,,aggressive
2007-01-09 18:00:59+00:00,2476603,,,Global stance,-0.47451460361480713,neutral,male,,aggressive
2007-01-09 19:54:38+00:00,2493423,,,Global stance,-0.47451460361480713,neutral,male,,aggressive
2007-01-10 22:21:35+00:00,2579333,,,Global stance,-0.16259645220438634,neutral,male,,aggressive
2007-01-10 22:22:04+00:00,2579403,-0.1276474,51.5073219,Global stance,-0.16259645220438634,neutral,male,4.59847,aggressive
2007-01-10 22:22:15+00:00,2579433,-0.1276474,51.5073219,Global stance,-0.16259645220438634,neutral,male,4.59847,aggressive
2007-01-11 06:21:43+00:00,2604673,-0.1276474,51.5073219,Importance of Human Intervantion,0.048919662833213806,believer,male,4.7022176,not aggressive
2007-01-11 09:30:36+00:00,2611903,,,Weather Extremes,-0.35356342826684317,neutral,male,,aggressive
2007-01-14 17:32:20+00:00,2840473,,,Weather Extremes,0.5407423718558417,neutral,male,,not aggressive
2007-01-16 01:40:53+00:00,2958313,,,Importance of Human Intervantion,0.4479388675689697,believer,male,,not aggressive
2007-01-16 12:20:32+00:00,2998933,,,Importance of Human Intervantion,0.11245983867645266,believer,male,,not aggressive
2007-01-16 12:30:55+00:00,2999523,-0.12574000000000002,51.50853000000001,Importance of Human Intervantion,0.11245983867645266,believer,male,4.9978456,not aggressive
2007-01-16 15:30:44+00:00,3013933,,,Politics,-0.013499146699905373,neutral,male,,not aggressive
2007-01-16 19:53:59+00:00,3040243,-96.7968559,32.7762719,Weather Extremes,0.027764864039421053,neutral,male,-9.293259,aggressive
2007-01-17 02:18:13+00:00,3081573,-73.9495823,40.6501038,Weather Extremes,0.02621422364711759,neutral,male,-2.8510103,not aggressive
2007-01-17 08:52:56+00:00,3106593,,,Global stance,0.4557735567331314,neutral,male,,aggressive
2007-01-18 13:22:52+00:00,3241963,-80.01448420000001,36.1126365,Weather Extremes,-0.37797388756275174,denier,male,-3.005815,aggressive
2007-01-19 10:01:59+00:00,3340323,,,Significance of Pollution Awareness Events,0.41150543093681335,believer,male,,not aggressive
2007-01-21 09:30:57+00:00,3564043,13.61232,43.436170000000004,Weather Extremes,0.8328112138553099,neutral,male,5.682824,not aggressive
2007-01-21 11:00:58+00:00,3568763,,,Global stance,0.07105726003646848,neutral,male,,not aggressive
2007-01-21 12:01:44+00:00,3571023,,,Global stance,-0.498420774936676,believer,male,,not aggressive
2007-01-21 20:05:56+00:00,3603643,,,Weather Extremes,0.24326673176288605,believer,male,,aggressive
2007-01-22 21:53:08+00:00,3734443,,,Donald Trump versus Science,0.49150763108730317,neutral,male,,aggressive
2007-01-23 15:50:31+00:00,3819323,,,Importance of Human Intervantion,-0.37499989290237423,believer,male,,not aggressive
2007-01-23 15:50:42+00:00,3819393,,,Importance of Human Intervantion,-0.37499989290237423,believer,male,,not aggressive
2007-01-23 16:10:31+00:00,3821293,-0.1276474,51.5073219,Importance of Human Intervantion,-0.37499989290237423,believer,male,-3.0751328,not aggressive
2007-01-24 01:20:35+00:00,3882043,,,Weather Extremes,0.5959219465732575,believer,male,,aggressive
2007-01-24 10:10:07+00:00,3922063,,,Weather Extremes,0.11883898949623108,neutral,male,,aggressive
2007-01-24 10:10:33+00:00,3922153,-0.12574000000000002,51.50853000000001,Global stance,-0.5885048053741456,neutral,male,-2.8180542,aggressive
2007-01-24 10:11:12+00:00,3922243,-0.12574000000000002,51.50853000000001,Global stance,-0.5885048053741456,neutral,male,-2.8180542,aggressive
2007-01-24 10:13:18+00:00,3922373,-80.24417000000001,25.963890000000003,Weather Extremes,0.5670713599681855,denier,undefined,3.7465112,not aggressive
2007-01-24 10:20:29+00:00,3922773,,,Global stance,-0.5885048053741456,neutral,male,,aggressive
2007-01-25 06:07:50+00:00,4026763,,,Weather Extremes,0.539232915186882,neutral,male,,aggressive
2007-01-26 21:43:00+00:00,4242813,,,Weather Extremes,0.3514225592136383,neutral,female,,aggressive
2007-01-27 14:20:34+00:00,4306383,,,Global stance,-0.36964824199676516,believer,male,,not aggressive
