,id,lng,lat,topic,sentiment,stance,gender,temperature_avg,aggressiveness,geometry,index_disaster,start_date,end_date,created_at
0,355418512,-118.242766,34.0536909,Weather Extremes,-0.4468275938987732,believer,male,1.7874639,not aggressive,POINT (-13162724.501108201 4036013.682651603),356,2007-10-21,2007-10-24,2007-10-22 19:35:09+00:00
1,588429022,-80.2440518,36.0998131,Weather Extremes,0.1904067136367162,denier,male,7.850978,aggressive,POINT (-8932726.985565066 4314364.206521845),382,2007-10-01,2009-06-28,2008-01-11 17:54:48+00:00
2,1003147599,-118.242766,34.0536909,Importance of Human Intervantion,0.2888172436714172,neutral,male,5.3719893,aggressive,POINT (-13162724.501108201 4036013.682651603),444,2008-11-13,2008-11-18,2008-11-13 02:19:22+00:00
3,1004100101,-118.24368,34.05223,Weather Extremes,-0.4452417974233627,believer,female,5.3719893,not aggressive,POINT (-13162826.247122785 4035817.3970122756),444,2008-11-13,2008-11-18,2008-11-13 16:59:31+00:00
4,1004410654,-118.242766,34.0536909,Weather Extremes,-0.4236552486817042,believer,female,5.3719893,not aggressive,POINT (-13162724.501108201 4036013.682651603),444,2008-11-13,2008-11-18,2008-11-13 21:20:52+00:00
5,1005737206,-118.49119,34.019450000000006,Weather Extremes,0.5499996291637421,neutral,male,6.893499,not aggressive,POINT (-13190378.93428903 4031413.985024083),444,2008-11-13,2008-11-18,2008-11-14 16:56:14+00:00
6,1007446831,-118.4912273,34.0194704,Weather Extremes,-0.0087921906471252,neutral,male,7.8901734,not aggressive,POINT (-13190383.086506037 4031416.724873504),444,2008-11-13,2008-11-18,2008-11-15 21:19:53+00:00
7,1007466318,-118.32674000000002,34.09834,Weather Extremes,0.0507294386625289,neutral,male,7.8901734,not aggressive,POINT (-13172072.444028078 4042014.341369179),444,2008-11-13,2008-11-18,2008-11-15 21:39:29+00:00
8,1007595153,-118.242766,34.0536909,Weather Extremes,-0.4415486191272735,believer,male,7.8901734,aggressive,POINT (-13162724.501108201 4036013.682651603),444,2008-11-13,2008-11-18,2008-11-15 23:50:22+00:00
9,1007717610,-118.46008,33.99084000000001,Weather Extremes,0.5368574341138204,neutral,male,7.223973299999999,not aggressive,POINT (-13186915.78493045 4027572.128239911),444,2008-11-13,2008-11-18,2008-11-16 01:58:02+00:00
10,1051428475,-71.65539919999999,43.4849133,Weather Extremes,-0.3726685062408447,denier,female,3.899668,not aggressive,POINT (-7976642.551532742 5386074.283403829),438,2008-12-11,2008-12-22,2008-12-11 15:42:05+00:00
11,1051428475,-71.65539919999999,43.4849133,Weather Extremes,-0.3726685062408447,denier,female,3.899668,not aggressive,POINT (-7976642.551532742 5386074.283403829),439,2008-12-11,2008-12-14,2008-12-11 15:42:05+00:00
12,1069917235,-71.65539919999999,43.4849133,Weather Extremes,0.5227887656168504,denier,male,-6.045303,aggressive,POINT (-7976642.551532742 5386074.283403829),438,2008-12-11,2008-12-22,2008-12-21 02:35:24+00:00
13,1110756445,4.3487800000000005,50.85045,Weather Extremes,0.4256298731327056,neutral,female,-4.979185,not aggressive,POINT (484103.9751719723 6594882.571391199),82,2009-01-01,2009-01-28,2009-01-11 10:25:39+00:00
14,1129882450,4.3487800000000005,50.85045,Politics,0.1363916011333465,believer,male,3.2171297,not aggressive,POINT (484103.9751719723 6594882.571391199),82,2009-01-01,2009-01-28,2009-01-19 06:36:55+00:00
15,1541534216,-80.24422000000001,36.09986,Donald Trump versus Science,0.7988875631809235,neutral,female,-2.4763992000000004,not aggressive,POINT (-8932745.70950342 4314370.668079549),382,2007-10-01,2009-06-28,2009-04-17 12:26:28+00:00
16,1716449641,-119.7026673,34.4221319,Donald Trump versus Science,-0.4973596453189849,denier,male,4.4497232,aggressive,POINT (-13325239.970432641 4085625.8517498923),476,2009-05-05,2009-05-11,2009-05-06 13:23:15+00:00
17,1746186524,-119.7026673,34.4221319,Ideological Positions on Global Warming,0.6661105108499528,neutral,male,2.1068926,not aggressive,POINT (-13325239.970432641 4085625.8517498923),476,2009-05-05,2009-05-11,2009-05-09 13:37:29+00:00
18,2400178557,3.3941795,6.4550575,Weather Extremes,-0.3435197256088256,denier,female,-0.37953424,not aggressive,POINT (377838.3336009679 720098.6654720946),735,2009-06-26,2009-07-02,2009-06-30 06:28:02+00:00
19,2401144677,3.39467,6.454070000000001,Global stance,-0.6143801539897918,believer,male,-0.37953424,not aggressive,POINT (377892.93581120204 719988.0362309994),735,2009-06-26,2009-07-02,2009-06-30 08:41:20+00:00
20,2426628804,3.3941795,6.4550575,Global stance,0.4154535250425338,neutral,male,-0.123715796,not aggressive,POINT (377838.3336009679 720098.6654720946),735,2009-06-26,2009-07-02,2009-07-01 21:38:06+00:00
21,2507745501,-118.24368,34.05223,Weather Extremes,-0.5276550471305846,neutral,female,-0.9722857,not aggressive,POINT (-13162826.247122785 4035817.3970122756),754,2009-07-07,2009-10-27,2009-07-07 02:53:13+00:00
22,2508448331,-118.242766,34.0536909,Donald Trump versus Science,-0.5689815599282583,believer,female,-0.9722857,not aggressive,POINT (-13162724.501108201 4036013.682651603),754,2009-07-07,2009-10-27,2009-07-07 03:43:44+00:00
23,2508923547,-118.242766,34.0536909,Global stance,-0.1253148515029387,neutral,male,-0.9722857,not aggressive,POINT (-13162724.501108201 4036013.682651603),754,2009-07-07,2009-10-27,2009-07-07 04:19:10+00:00
24,2513513973,-118.24368,34.05223,Global stance,0.3672831035852432,believer,female,-0.9722857,not aggressive,POINT (-13162826.247122785 4035817.3970122756),754,2009-07-07,2009-10-27,2009-07-07 13:03:20+00:00
25,2516477315,-118.12706,34.093042,Global stance,0.142074521372535,believer,female,-0.9722857,not aggressive,POINT (-13149844.168106476 4041302.1461208914),754,2009-07-07,2009-10-27,2009-07-07 16:35:05+00:00
26,2517242411,-118.242766,34.0536909,Donald Trump versus Science,-0.2122038004159927,denier,male,-0.9722857,aggressive,POINT (-13162724.501108201 4036013.682651603),754,2009-07-07,2009-10-27,2009-07-07 17:21:53+00:00
27,2518257632,-118.242766,34.0536909,Politics,-0.4810191076278686,believer,male,-0.9722857,aggressive,POINT (-13162724.501108201 4036013.682651603),754,2009-07-07,2009-10-27,2009-07-07 18:19:06+00:00
28,2518413441,90.4126466,23.810651,Global stance,-0.5364897781451543,denier,female,-0.5260465999999999,aggressive,POINT (10064689.780784197 2730352.025424396),493,2009-07-01,2009-08-28,2009-07-07 18:26:38+00:00
29,2520486121,-118.242766,34.0536909,Politics,-0.0827557295560836,neutral,male,-0.9722857,aggressive,POINT (-13162724.501108201 4036013.682651603),754,2009-07-07,2009-10-27,2009-07-07 20:19:01+00:00
30,2520734717,-118.24368,34.05223,Global stance,-0.4511170249780019,believer,male,-0.9722857,not aggressive,POINT (-13162826.247122785 4035817.3970122756),754,2009-07-07,2009-10-27,2009-07-07 20:36:10+00:00
31,2521334396,-118.242766,34.0536909,Politics,-0.0538503676652908,neutral,male,-0.9722857,not aggressive,POINT (-13162724.501108201 4036013.682651603),754,2009-07-07,2009-10-27,2009-07-07 21:18:00+00:00
32,2521898109,-118.1444779,34.14764520000001,Seriousness of Gas Emissions,-0.4728250205516815,believer,female,-0.9722857,not aggressive,POINT (-13151783.119865162 4048644.4405916217),754,2009-07-07,2009-10-27,2009-07-07 21:58:24+00:00
33,2521950828,-118.24368,34.05223,Politics,0.379480242729187,neutral,male,-0.9722857,not aggressive,POINT (-13162826.247122785 4035817.3970122756),754,2009-07-07,2009-10-27,2009-07-07 22:02:06+00:00
34,2524303551,-118.242766,34.0536909,Importance of Human Intervantion,0.0128215725660323,denier,male,-1.5446546,aggressive,POINT (-13162724.501108201 4036013.682651603),754,2009-07-07,2009-10-27,2009-07-08 00:53:30+00:00
35,2525274958,-117.85311000000002,33.78779,Global stance,0.1200706389817324,believer,female,-0.9426512,not aggressive,POINT (-13119348.193603657 4000342.876685586),754,2009-07-07,2009-10-27,2009-07-08 02:01:16+00:00
36,2528064874,-118.24368,34.05223,Donald Trump versus Science,-0.0813973397016525,denier,male,-1.5446546,not aggressive,POINT (-13162826.247122785 4035817.3970122756),754,2009-07-07,2009-10-27,2009-07-08 05:21:40+00:00
37,2528189739,-118.18923,33.766960000000005,Importance of Human Intervantion,-0.47923723487854,believer,male,-1.0073938,not aggressive,POINT (-13156764.90084909 3997553.2067508246),754,2009-07-07,2009-10-27,2009-07-08 05:32:56+00:00
38,2528196532,90.40744,23.7104,Politics,-0.0996557474136352,neutral,female,0.22672264,not aggressive,POINT (10064110.184723431 2718158.586536283),493,2009-07-01,2009-08-28,2009-07-08 05:33:34+00:00
39,2529232371,90.4126466,23.810651,Global stance,0.0158295631408691,believer,female,0.22672264,not aggressive,POINT (10064689.780784197 2730352.025424396),493,2009-07-01,2009-08-28,2009-07-08 07:24:21+00:00
40,2530512166,-118.24368,34.05223,Donald Trump versus Science,0.5285684180498122,believer,female,-1.5446546,not aggressive,POINT (-13162826.247122785 4035817.3970122756),754,2009-07-07,2009-10-27,2009-07-08 10:24:00+00:00
41,2531910960,-118.24368,34.05223,Weather Extremes,0.0620908851861953,denier,male,-1.5446546,not aggressive,POINT (-13162826.247122785 4035817.3970122756),754,2009-07-07,2009-10-27,2009-07-08 13:06:19+00:00
42,2532793036,-118.24368,34.05223,Politics,-0.0507444739341735,neutral,male,-1.5446546,not aggressive,POINT (-13162826.247122785 4035817.3970122756),754,2009-07-07,2009-10-27,2009-07-08 14:18:42+00:00
43,2533281640,-118.35313,33.96168,Weather Extremes,-0.6876486632202611,denier,male,-1.0073938,not aggressive,POINT (-13175010.16539011 4023657.7462441437),754,2009-07-07,2009-10-27,2009-07-08 14:54:22+00:00
44,2533482881,-118.242766,34.0536909,Importance of Human Intervantion,-0.0571241229772567,neutral,male,-1.5446546,aggressive,POINT (-13162724.501108201 4036013.682651603),754,2009-07-07,2009-10-27,2009-07-08 15:08:17+00:00
45,2535150892,-118.24368,34.05223,Weather Extremes,-0.4508692447423935,neutral,male,-1.5446546,not aggressive,POINT (-13162826.247122785 4035817.3970122756),754,2009-07-07,2009-10-27,2009-07-08 16:59:23+00:00
